id,name,brand,categories,available,stock,regular_price,sales_price,discount,tier_prices,measure,product_url,image_url,ean,internal_code
53505,Abacate Caixa 19kg,Atacadão S/A,Hortifrúti/Frutas/Fruta fresca | Hortifrúti/Frutas | Hortifrúti,False,,65.0,65.0,0.0,[],CXA,https://www.atacadao.com.br/abacate-1966/p,https://atacadaobr.vteximg.com.br/arquivos/ids/1560108/p.jpg.jpg?v=639228969643670000,1966981,1966
41983,Abacate Quilo,Atacadão S/A,Hortifrúti/Frutas/Fruta fresca | Hortifrúti/Frutas | Hortifrúti,True,,3.98,3.98,0.0,[],kg,https://www.atacadao.com.br/abacate-1632/p,https://atacadaobr.vteximg.com.br/arquivos/ids/1558010/g.jpg.jpg?v=639216873589400000,1632,1632
38111,Abacaxi em Calda Cepêra 400g,Cepêra,Mercearia/Doces/Fruta em calda | Mercearia/Doces | Mercearia,False,,,,,[],UND,https://www.atacadao.com.br/abacaxi-em-calda-cepera-24825/p,https://atacadaobr.vteximg.com.br/arquivos/ids/1514243/m.jpg.jpg?v=639216071203900000,7896025801776,24825
7,Abacaxi em Calda Mariza 400g,Mariza,Mercearia/Doces/Fruta em calda | Mercearia/Doces | Mercearia,False,,10.9,10.9,0.0,[],UND,https://www.atacadao.com.br/abacaxi-em-calda-mariza-51498/p,https://atacadaobr.vteximg.com.br/arquivos/ids/1521585/m.jpg.jpg?v=639216112220630000,7896369614056,51498
12,Abacaxi em Calda Oderich 400g,Oderich,Mercearia/Doces/Fruta em calda | Mercearia/Doces | Mercearia,False,,,,,[],UND,https://www.atacadao.com.br/abacaxi-em-calda-oderich-lata-com-400g-79226/p,https://atacadaobr.vteximg.com.br/arquivos/ids/1541930/p.jpg.jpg?v=639216219085330000,7896041171044,79226
18,Abacaxi em Calda Tozzi 400g,Tozzi,Mercearia/Doces/Fruta em calda | Mercearia/Doces | Mercearia,True,,12.9,12.9,0.0,[],LTA,https://www.atacadao.com.br/abacaxi-em-calda-tozzi-47293/p,https://atacadaobr.vteximg.com.br/arquivos/ids/1519882/g.jpg.jpg?v=639216102298970000,7898909755380,47293
22,Abacaxi em Calda Triângulo 400g,Triângulo,Mercearia/Doces/Fruta em calda | Mercearia/Doces | Mercearia,False,,18.9,18.9,0.0,[],LTA,https://www.atacadao.com.br/abacaxi-em-calda-triangulo-51449/p,https://atacadaobr.vteximg.com.br/arquivos/ids/1521553/p.jpg.jpg?v=639216112071430000,7896434920174,51449
38991,"Abacaxi Miragem Congelado 1,02kg",Miragem,Frios e congelados/Polpas e frutas/Fruta congelada | Frios e congelados/Polpas e frutas | Frios e congelados,False,,,,,[],UND,https://www.atacadao.com.br/abacaxi-miragem-congelado-76642/p,https://atacadaobr.vteximg.com.br/arquivos/ids/1539757/m.jpg.jpg?v=639216208171300000,7898966815003,76642
49282,Abacaxi Pérola un,Atacadão S/A,Hortifrúti/Frutas/Fruta fresca | Hortifrúti/Frutas | Hortifrúti,False,,,,,[],UND,https://www.atacadao.com.br/abacaxi-perola-10270/p,https://atacadaobr.vteximg.com.br/arquivos/ids/1505225/g.jpg.jpg?v=639216042839730000,10270940,10270
55966,Abacaxi Swift Congelado Cubos 300g,Swift,Frios e congelados/Polpas e frutas/Fruta congelada | Frios e congelados/Polpas e frutas | Frios e congelados,False,,,,,[],UND,https://www.atacadao.com.br/abacaxi-swift-congelado-cubos-2634/p,https://atacadaobr.vteximg.com.br/arquivos/ids/1494860/p.jpg.jpg?v=639216016860930000,7899567238413,2634
41958,Abacaxi un,Atacadão S/A,Hortifrúti/Frutas/Fruta fresca | Hortifrúti/Frutas | Hortifrúti,True,,7.98,7.98,0.0,[],UND,https://www.atacadao.com.br/abacaxi-unidade-1078/p,https://atacadaobr.vteximg.com.br/arquivos/ids/1557917/g.jpg.jpg?v=639216301717330000,1078969,1078
